Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),Initial C/N (%),Initial pH,Initial TC (%),Initial NH3-N (g/kg),Initial density (kg/L),Initial FW (kg),Initial DW (kg),Initial NO2-N (g/kg),TC loss (%)
26.0,26.0,0.0,0.0,2.0,0.0,0.05,65.0,0.57,2.66,15.0,7.60664,39.9,6.77859,0.532,21.42857143,7.5,0.175751,50.0
26.0,26.0,0.0,0.0,2.0,3.8,0.05,65.0,0.57,2.66,15.0,7.41084,39.9,8.11588,0.532,21.42857143,7.5,0.0372636,53.0
26.0,26.0,0.0,0.0,2.0,7.3,0.05,65.0,0.57,2.66,15.0,6.61538,39.9,8.16937,0.532,21.42857143,7.5,0.0522803,55.0
26.0,26.0,0.0,0.0,2.0,8.9,0.05,65.0,0.57,2.66,15.0,6.40734,39.9,8.82914,0.532,21.42857143,7.5,0.025584,43.0
42.0,42.0,0.5,20.0,6.0,0.0,0.06,60.0,0.0275,3.56,10.39325843,8.70526,37.0,0.0,0.416,0.0,0.0,0.0,43.6
42.0,42.0,0.5,20.0,6.0,5.0,0.06,60.0,0.0275,3.49,10.73352436,8.66,37.46,0.0,0.416,0.0,0.0,0.0,36.4
42.0,42.0,0.5,20.0,6.0,25.0,0.06,60.0,0.0275,2.96,15.5,8.55,45.88,0.0,0.416,0.0,0.0,0.0,39.7
47.1657223796034,0.0,0.0,0.0,21.0,0.0,0.12,65.0,0.0,0.0,31.6,7.0135,0.0,0.0,0.380833333,45.7,0.0,0.0,59.78
47.1657223796034,0.0,0.0,0.0,21.0,4.0,0.12,65.0,0.0,0.0,31.67613636,6.8869,0.0,0.0,0.395833333,47.5,0.0,0.0,59.44
47.1657223796034,0.0,0.0,0.0,21.0,8.0,0.12,65.0,0.0,0.0,31.77966102,7.2489,0.0,0.0,0.411666667,49.4,0.0,0.0,56.55
47.1657223796034,0.0,0.0,0.0,21.0,12.0,0.12,65.0,0.0,0.0,31.5,7.3212,0.0,0.0,0.426666667,51.2,0.0,0.0,58.57
35.0,35.0,0.0,0.0,5.0,0.0,0.06,60.0,0.2,1.79,22.1,5.01,39.559,0.42,0.0,0.0,0.0,0.01,54.1
35.0,35.0,0.0,0.0,5.0,10.0,0.06,60.0,0.2,1.98,18.2,4.43,36.036,0.42,0.0,0.0,0.0,0.01,63.9
35.0,35.0,0.0,0.0,5.0,10.0,0.06,60.0,0.2,1.89,19.1,4.28,36.099,0.42,0.0,0.0,0.0,0.01,64.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.1481,0.0,0.0,35.4459,8.9,0.0,0.0,0.0,0.0,0.0,0.0,33.7114
0.0,0.0,0.0,0.0,0.0,25.0,0.0,56.0494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.2698
0.0,0.0,0.0,0.0,0.0,25.0,0.0,61.2346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.993
0.0,0.0,0.0,0.0,0.0,25.0,0.0,55.0617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.3554
0.0,0.0,0.0,0.0,0.0,10.0,0.0,65.679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0312
0.0,0.0,0.0,0.0,0.0,6.414309273643399,0.0,46.9136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5733
70.0,0.0,0.0,0.0,10.0,0.0,1.2,0.0,0.0,0.0,18.89189189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.4
70.0,0.0,0.0,0.0,10.0,3.3,1.2,0.0,0.0,0.0,18.89189189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.1
